id_producto;sku;nombre;marca;id_padre;padre_nombre;id_categoria_actual;cat_actual;palabra_raiz_detectada;subcategoria_sugerida;decision_subcategoria
752;B3AC;BIDET 3 A.  BLANCO ITALIANA  /CAPEA 7000041///;CAPEA;;;116;CERAMICA CAPEA;BIDET;BIDETES;SANITARIOS
1031;BIC;BIDET 1 AGUJERO L. ITALIANA    /CAPEA 7000040///;CAPEA;;;116;CERAMICA CAPEA;BIDET;BIDETES;SANITARIOS
2030;CB25;CEMENTO BLANCO     25KG  /CIMSA /;CIMSA;;;18;CORRALON;CEMENTO;CEMENTOS;AGLOMERANTES
2124;CC10;CEMENTO X 10 KILOS;;;;18;CORRALON;CEMENTO;CEMENTOS;AGLOMERANTES
2134;CC15;CAL CACIQUE MEDIA BOLSA 15K;;;;18;CORRALON;CAL;CALES;AGLOMERANTES
2155;CC30;CAL CACIQUE 25KG /LOMA NEGRA;LOMA NEGRA;;;18;CORRALON;CAL;CALES;AGLOMERANTES
2422;CIC;COLUMNA LAVATORIO L. ITALIANA    /CAPEA 7000010///;CAPEA;;;116;CERAMICA CAPEA;COLUMNA;COLUMNAS;HIERROS Y MALLAS
2433;CLC;LAVATORIO 540 3 AGUJ. GRANDE L. ITALIANA    /CAPEA 7000005///;CAPEA;;;116;CERAMICA CAPEA;LAVATORIO;LAVATORIOS;SANITARIOS
2447;CLN;CEMENTO 25KILOS /LOMA NEGRA;LOMA NEGRA;;;18;CORRALON;CEMENTO;CEMENTOS;AGLOMERANTES
2451;CM;CAL MILAGRO 25KG /EL MILAGRO;EL MILAGRO;;;18;CORRALON;CAL;CALES;AGLOMERANTES
2459;CM12;CAL MILAGRO MEDIA BOLSA 12K;;;;18;CORRALON;CAL;CALES;AGLOMERANTES
2737;CP;CASCOTE PICADO;;;;18;CORRALON;CASCOTE;CASCOTES;ÁRIDOS
2744;CP12;CASCOTE X MEDIO;;;;18;CORRALON;CASCOTE;CASCOTES;ÁRIDOS
2788;CP3;CASCOTE X 3 BALDES;;;;18;CORRALON;CASCOTE;CASCOTES;ÁRIDOS
3337;CÑB100T;CAÑO PVC  100 MM ESPECIAL /TUBOSOL 10018/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3339;CÑB110T;CAÑO PVC  110 MM L.AZUL /TUBOSOL 11026/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3340;CÑB160T;CAÑO PVC  160 MM ESPECIAL /TUBOSOL 16028/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3341;CÑB200T;CAÑO PVC.  200 MM ESPECIAL /TUBOSOL 20032/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3343;CÑB40T;CAÑO PVC  040 MM REF /TUBOSOL 4018/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3345;CÑB50T;CAÑO PVC  050 MM REF /TUBOSOL 5018/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3347;CÑB60T;CAÑO PVC  060 MM REF /TUBOSOL 6018/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3357;CÑP115T;CAÑO PVC. POCERO 115 MM X6MT /TUBOSOL 1156/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3359;CÑP75T;CAÑO PVC POCERO 075 MM X6MT /TUBOSOL 7528/;TUBOSOL;;;91;PVC;CANO;CANOS;CAÑOS Y CONEXIONES
3503;DAIC;DEPOSITO APOYAR L. ITALIANA    /CAPEA 7000030/;CAPEA;;;116;CERAMICA CAPEA;DEPOSITO;DEPOSITOS;SANITARIOS
3668;DIC;DEPOSITO COLGAR L. ITALIANA    /CAPEA 7000031/;CAPEA;;;116;CERAMICA CAPEA;DEPOSITO;DEPOSITOS;SANITARIOS
4163;EPA10;AISLANTE ESPUMA DE POLIETILENO ALUMINIZADA 10MM    X20MT /SPRINGTECH REAS10120-SG//;SPRINGTECH;;;364;AISLANTES;AISLANTE;AISLANTES;IMPERMEABILIZACIÓN
4164;EPA5;AISLANTE ESPUMA DE POLIETILENO ALUMINIZADA  5MM    X20MT /SPRINGTECH REAS05120-SG//;SPRINGTECH;;;364;AISLANTES;AISLANTE;AISLANTES;IMPERMEABILIZACIÓN
4958;GCP;GRANZA-CASCOTE PICADO FINO CON POLVO;;;;18;CORRALON;GRANZA-CASCOTE;GRANZA-CASCOTES;ÁRIDOS
5158;GSP;GRANZA-CASCOTE PICADO FINO SIN POLVO;;;;18;CORRALON;GRANZA-CASCOTE;GRANZA-CASCOTES;ÁRIDOS
5175;H10;HIERRO 10,00 MM /BRAGADO (07,404);BRAGADO;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5176;H10C;CERECITA 10 KG /WEBER;CERECITA;;;18;CORRALON;CERECITA;CERECITAS;IMPERMEABILIZACIÓN
5178;H10I;HIDROF.  10 LT  /EL INCA ///;EL INCA;;;490;HIDROFUGO;HIDROF;HIDROFES;IMPERMEABILIZACIÓN
5180;H12;HIERRO 12,00 MM /BRAGADO (11,200);BRAGADO;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5182;H129;HUECO 12 X18X33 (144) /QUILMES;QUILMES;;;18;CORRALON;HUECO;HUECOS;LADRILLOS Y BLOQUES
5183;H129C;HUECO 12 X18X33 (144) /C-TIBOR;C-TIBOR;;;18;CORRALON;HUECO;HUECOS;LADRILLOS Y BLOQUES
5184;H129F;HUECO 12 X18X33 (144) /FANELLI;FANELLI;;;18;CORRALON;HUECO;HUECOS;LADRILLOS Y BLOQUES
5190;H16;HIERRO 16,00 MM /BRAGADO (19,200);BRAGADO;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5191;H18;HUECO 18 X19X33 (90) /QUILMES;QUILMES;;;18;CORRALON;HUECO;HUECOS;LADRILLOS Y BLOQUES
5193;H1I;HIDROF.  01 LT  /EL INCA ///;EL INCA;;;490;HIDROFUGO;HIDROF;HIDROFES;IMPERMEABILIZACIÓN
5194;H20C;CERECITA 20 KG /WEBER;CERECITA;;;18;CORRALON;CERECITA;CERECITAS;IMPERMEABILIZACIÓN
5196;H24I;HIDROF.  25 LT  /EL INCA ///;EL INCA;;;490;HIDROFUGO;HIDROF;HIDROFES;IMPERMEABILIZACIÓN
5198;H42;HIERRO 04,20 MM /BRAGADO (01.400);BRAGADO;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5200;H4C;CERECITA 04 KG /WEBER;CERECITA;;;18;CORRALON;CERECITA;CERECITAS;IMPERMEABILIZACIÓN
5201;H4I;HIDROF.  05 LT  /EL INCA ///;EL INCA;;;490;HIDROFUGO;HIDROF;HIDROFES;IMPERMEABILIZACIÓN
5203;H6;HIERRO 06,00 MM /BRAGADO (02,664);BRAGADO;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5208;H8;HIERRO 08,00 MM /BRAGADO (04,740);BRAGADO;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5209;H86C;HUECO 8 X18X33 (216) /C-TIBOR;C-TIBOR;;;18;CORRALON;HUECO;HUECOS;LADRILLOS Y BLOQUES
5210;H86F;HUECO 8 X18X33 (198) /FANELLI;FANELLI;;;18;CORRALON;HUECO;HUECOS;LADRILLOS Y BLOQUES
5246;HL6;HIERRO LISO 6MM (XMT);;;;18;CORRALON;HIERRO;HIERROS;HIERROS Y MALLAS
5311;IC;INODORO CORTO L. ITALIANA    /CAPEA 7000020/;CAPEA;;;116;CERAMICA CAPEA;INODORO;INODOROS;SANITARIOS
5349;ILC;INODORO LARGO L. ITALIANA    /CAPEA 7000021///;CAPEA;;;116;CERAMICA CAPEA;INODORO;INODOROS;SANITARIOS
5658;LC;LADRILLO COMUN;;;;18;CORRALON;LADRILLO;LADRILLOS;LADRILLOS Y BLOQUES
5670;LCH;LAVATORIO 495X355 3 AGUJ. CHICO L. ITALIANA    /CAPEA 7000002///;CAPEA;;;116;CERAMICA CAPEA;LAVATORIO;LAVATORIOS;SANITARIOS
5674;LCIC;LAVATORIO 495X355 1 AGUJ.CHICO L. ITALIANA    /CAPEA 7000000///;CAPEA;;;116;CERAMICA CAPEA;LAVATORIO;LAVATORIOS;SANITARIOS
5703;LGIC;LAVATORIO 540 1 AGUJ. GRANDE  L. ITALIANA    /CAPEA 7000003///;CAPEA;;;116;CERAMICA CAPEA;LAVATORIO;LAVATORIOS;SANITARIOS
6383;LM;LADRILLO MAR DEL PLATA (1000U);LADRISUR;;;18;CORRALON;LADRILLO;LADRILLOS;LADRILLOS Y BLOQUES
6585;LT;LADRILLO DE TELGOPOR  10CM   /TELGOPOR /;TELGOPOR;;;18;CORRALON;LADRILLO;LADRILLOS;LADRILLOS Y BLOQUES
6586;LT12;LADRILLO DE TELGOPOR  12CM   /TELGOPOR /;TELGOPOR;;;18;CORRALON;LADRILLO;LADRILLOS;LADRILLOS Y BLOQUES
6668;M2;MEMBRANA 2MM 15 KG LP200    / /;;;;30;MEMBRANA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
6683;M3;MEMBRANA 3MM 25KG LP300    / /;;;;30;MEMBRANA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
6702;M4;MEMBRANA 4MM 35 KG LP400    / /;;;;30;MEMBRANA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
6705;M42;MALLA 15X25 DE 4,0 /BRAGADO;BRAGADO;;;18;CORRALON;MALLA;MALLAS;HIERROS Y MALLAS
6706;M4215;MALLA 15X15 DE 4,0 /BRAGADO;BRAGADO;;;18;CORRALON;MALLA;MALLAS;HIERROS Y MALLAS
6723;M6;MALLA 15X25 DE 5,5 /BRAGADO;BRAGADO;;;18;CORRALON;MALLA;MALLAS;HIERROS Y MALLAS
6725;M615;MALLA 15X15 DE 5,5 /BRAGADO;BRAGADO;;;18;CORRALON;MALLA;MALLAS;HIERROS Y MALLAS
6741;MA25P;MEZCLA ADHESIVA- PIZZO 25KG   /EL INCA //;EL INCA;;;12;MEZCLA ADHESIVA;MEZCLA;MEZCLAS;AGLOMERANTES
6742;MA30;MEZCLA ADHESIVA- POTENTE  25KG   /EL INCA /;EL INCA;;;12;MEZCLA ADHESIVA;MEZCLA;MEZCLAS;AGLOMERANTES
6899;MBL10C;MEMBRANA EN PASTA POLIU. BLANCO 10 LT /CASA SECA / 81015013;CASABLANCA;;;89;PINTURERIA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
6901;MBL20C;MEMBRANA EN PASTA POLIU. BLANCO 20 LT /CASA SECA / 81015013;CASABLANCA;;;89;PINTURERIA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
6902;MBL4C;MEMBRANA EN PASTA POLIU. BLANCO 04 LT /CASA SECA / 81015074;CASABLANCA;;;89;PINTURERIA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
7053;MFBL10C;MEMBRANA EN PASTA FIBRADA TECHOS BLANCO 10 LT /CASA SECA / 81014016;CASABLANCA;;;89;PINTURERIA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
7054;MFBL20C;MEMBRANA EN PASTA FIBRADA TECHOS BLANCO 20 LT /CASA SECA / 81014017;CASABLANCA;;;89;PINTURERIA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
7055;MFBL4C;MEMBRANA EN PASTA FIBRADA TECHOS BLANCO 04 LT /CASA SECA / 81014014;CASABLANCA;;;89;PINTURERIA;MEMBRANA;MEMBRANAS;IMPERMEABILIZACIÓN
7768;P;PLASTICOR 25KILOS /LOMA NEGRA;LOMA NEGRA;;;18;CORRALON;PLASTICOR;PLASTICORES;PINTURAS Y ADITIVOS
7872;PA10K;PINTURA ASFALTICA  X10    /KOVERPRIMER ALPIN10;KOVERPRIMER;;;651;PINTURA ASFALTICA;PINTURA;PINTURAS;PINTURAS Y ADITIVOS
7880;PA18K;PINTURA ASFALTICA  X18    /KOVERPRIMER ALPIN18;KOVERPRIMER;;;651;PINTURA ASFALTICA;PINTURA;PINTURAS;PINTURAS Y ADITIVOS
7883;PA1K;PINTURA ASFALTICA  X1    /KOVERPRIMER ALPIN01;KOVERPRIMER;;;651;PINTURA ASFALTICA;PINTURA;PINTURAS;PINTURAS Y ADITIVOS
7890;PA4K;PINTURA ASFALTICA  X4    /KOVERPRIMER ALPIN04;KOVERPRIMER;;;651;PINTURA ASFALTICA;PINTURA;PINTURAS;PINTURAS Y ADITIVOS
8090;PB1;MEMB. EN PASTA BLANCO 01KG /DURACRIL;DURACRIL;;;152;PINTURERIA DURACRIL;MEMB;MEMBES;IMPERMEABILIZACIÓN
8091;PB10;MEMB. EN PASTA BLANCO 10LT /DURACRIL;DURACRIL;;;152;PINTURERIA DURACRIL;MEMB;MEMBES;IMPERMEABILIZACIÓN
8094;PB20;MEMB. EN PASTA BLANCO 20LT /DURACRIL;DURACRIL;;;152;PINTURERIA DURACRIL;MEMB;MEMBES;IMPERMEABILIZACIÓN
8105;PB4;MEMB. EN PASTA BLANCO 04LT /DURACRIL;DURACRIL;;;152;PINTURERIA DURACRIL;MEMB;MEMBES;IMPERMEABILIZACIÓN
8130;PBL;PASTINA.  X 1 KG BLANCO(24U)   /EL INCA //;EL INCA;;;654;PASTINAS PARA CERAMICAS;PASTINA;PASTINAS;PINTURAS Y ADITIVOS
8356;PL;PALLETS VACIO /LOMA NEGRA;LOMA NEGRA;;;18;CORRALON;PALLETS;PALLETSES;EMBALAJE
8431;PMB;PLASTICOR MEDIA BOLSA 20K;;;;18;CORRALON;PLASTICOR;PLASTICORES;PINTURAS Y ADITIVOS
8462;PP12;PIEDRA PARTIDA SUELTA X MEDIO MT;;;;18;CORRALON;PIEDRA;PIEDRAS;ÁRIDOS
8479;PP3;PIEDRA X 3 BALDES;;;;18;CORRALON;PIEDRA;PIEDRAS;ÁRIDOS
8525;PPCE70;PUERTA PLEGADIZA CEDRO 70CM  6MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8526;PPCE80;PUERTA PLEGADIZA CEDRO 80CM  6MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8527;PPCE90;PUERTA PLEGADIZA CEDRO 90CM  6MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8577;PPTCE84;PUERTA PLEGADIZA CON TRABA CEDRO 84CM X200MM 10MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8578;PPTCI84;PUERTA PLEGADIZA CON TRABA CIPRES 84CM X200MM 10MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8582;PPWE80;PUERTA PLEGADIZA WENGUE 80CM  6MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8583;PPWE90;PUERTA PLEGADIZA WENGUE 90CM  6MM /RG ///;RG;;;690;ABERTURAS PVC;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8713;PUE2;PUERTA PLACA 70CM DER   /NACIONAL /;NACIONAL;;;363;ABERTURAS;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
8717;PUE41;PUERTA PLACA CORREDIZA    70CM /NACIONAL /;NACIONAL;;;363;ABERTURAS;PUERTA;PUERTAS;PUERTAS Y ABERTURAS
9078;RL20R;RUBEROID LIV. STANDAR FIELTRO ASFALTICO  X 20    /RUBBERSEC FT300/20;RUBBERSEC;;;364;AISLANTES;RUBEROID;RUBEROIDES;IMPERMEABILIZACIÓN
9081;RL40R;RUBEROID LIV. STANDAR FIELTRO ASFALTICO  X 40    /RUBBERSEC FT300;RUBBERSEC;;;364;AISLANTES;RUBEROID;RUBEROIDES;IMPERMEABILIZACIÓN
9875;SIP1;"CLAVO P.PARIS 1""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9879;SIP112;"CLAVO P.PARIS 1. 1/2""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9883;SIP14;ALAMBRE RECOCIDO N. 14 /SIPAR ACEROS;LATYN;;;506;CLAVOS Y ALAMBRES;ALAMBRE;ALAMBRES;HIERROS Y MALLAS
9886;SIP16;ALAMBRE RECOCIDO N. 16 /SIPAR ACEROS;LATYN;;;506;CLAVOS Y ALAMBRES;ALAMBRE;ALAMBRES;HIERROS Y MALLAS
9888;SIP2;"CLAVO P.PARIS 2""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9889;SIP212;"CLAVO P.PARIS 2. 1/2""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9890;SIP3;"CLAVO P.PARIS 3""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9891;SIP312;"CLAVO P.PARIS 3. 1/2""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9892;SIP4;"CLAVO P.PARIS 4""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9893;SIP5;"CLAVO P.PARIS 5""(16) /SIPAR ACEROS";SIPAR ACEROS;;;55;ALAMBRES Y CLAVOS;CLAVO;CLAVOS;FERRETERÍA
9904;SIPG12;ALAMBRE GALVANIZADO N. 12 /SIPAR ACEROS;SIPAR ACEROS;;;506;CLAVOS Y ALAMBRES;ALAMBRE;ALAMBRES;HIERROS Y MALLAS
9905;SIPG14;ALAMBRE GALVANIZADO N. 14 /SIPAR ACEROS;SIPAR ACEROS;;;506;CLAVOS Y ALAMBRES;ALAMBRE;ALAMBRES;HIERROS Y MALLAS
9906;SIPG16;ALAMBRE GALVANIZADO N. 16 /SIPAR ACEROS;SIPAR ACEROS;;;506;CLAVOS Y ALAMBRES;ALAMBRE;ALAMBRES;HIERROS Y MALLAS
11483;TTEB40S;TERMOTANQUE BLACK ELECT. 040LT / SEÑORIAL 330092;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11488;TTEZ40S;TERMOTANQUE LZ ELECT. 040LT / SEÑORIAL 330004;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11489;TTEZ65S;TERMOTANQUE LZ ELECT. 065LT / SEÑORIAL 330005;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11490;TTEZ95S;TERMOTANQUE LZ ELECT. 095LT / SEÑORIAL 330006;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11491;TTGF30S;TERMOTANQUE LF MG 030LT / SEÑORIAL 330013;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11497;TTGZ85S;TERMOTANQUE LZ MG 085LT / SEÑORIAL 330002;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11510;TTMB110S;TERMOTANQUE BLACK MG 110LT / SEÑORIAL 330091;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11511;TTMB50S;TERMOTANQUE BLACK MG 050LT / SEÑORIAL 330089;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11512;TTMB75S;TERMOTANQUE BLACK MG 075LT / SEÑORIAL 330090;SEÑORIAL;;;820;SEÑORIAL;TERMOTANQUE;TERMOTANQUES;TERMOTANQUES
11648;V200;VIGUETA 2;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11649;V220;VIGUETA 2.2;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11650;V240;VIGUETA 2.4;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11652;V260;VIGUETA 2.6;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11654;V280;VIGUETA 2.8;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11655;V300;VIGUETA 3;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11659;V310;VIGUETA 3.10;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11660;V320;VIGUETA 3.2;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11661;V330;VIGUETA 3.3;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11662;V340;VIGUETA 3.4;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11663;V350;VIGUETA 3.50;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
